id,text,stance,category
0,"بيل غيتس يعلن عن تلقيه الجرعة الأولى من اللقاح ضد فيروس #كورونا<LF><LF>- قال بيل غيتس ""إحدى مزايا بلوغي عمر الـ 65 عامًا هي أنني مؤهل للحصول على لقاح COVID-19"" https://t.co/JGZhBysT8M",1,celebrity
1,محتاجين لقاح يقاوم الإفراط في التفكير,0,unrelated
2,- إحنا نخلي لقاح فايزر الأمريكي <LF>للمسئولين وكبار الشخصيات ورجال الأعمال<LF>عشان بيكسبوا كتير و هيقدروا يدفعوا كويس <LF>- ونخلي لقاح موديرنا الأمريكي<LF>للدكاترة و التمريض أهو رخيص شوية<LF>- ونخلي لقاح سينوفارم الصيني ولقاح سبوتنيك الروسي للشعب عشان اللقاح رخيص و الشعب بيستحمل 🤣 https://t.co/K25PLmhjxf,1,info_news
3,متحدث الصحة: أخذ لقاح كورونا ليس شرطاً للسماح بالسفر للخارج  https://t.co/eMVUXxjftk @USER,1,restrictions
4,"131,939 جرعة من لقاح #كوفيد19 تم تقديمها خلال الـ24 ساعة الماضية، ليبلغ عدد الجرعات الكلي 1,797,926 بمعدل توزيع 18.18 جرعة لكل 100 شخص.<LF><LF>#يدا_بيد_نتعافى https://t.co/aQd30YXVzo",1,restrictions
5,أكثر من ١٠٠ مليون شخص حول العالم أخذوا لقاح الكورونا https://t.co/Ve3ATxooBa,1,info_news
6,أمير #الرياض يتلقى الجرعة الأولى من #لقاح_كورونا.<LF>-<LF> https://t.co/q6o6DCnuiZ,1,celebrity
7,@USER @USER لقاح مجاني https://t.co/chOtH9LG3V,1,info_news
8,لو سمعتوا كلام صديقي الطبيب العربي بعد حصوله على الجرعة الثانية من لقاح كورونا واعجابه واشادته بهذا البلد قيادة وشعباً وممارسين صحيين لافتخرتم وتباهيتم ببلدكم <LF><LF>كم كان منبهراً بما شاهده من تنظيم وبما أُتخذ من خطوات<LF><LF>نسأل الله أن يديم علينا نعمه ويحفظ لنا قادتنا ووحدتنا 🇸🇦🇸🇦🇸🇦🇸🇦,1,personal
9,"قال الرئیس أردوغان ""تركيا في المرتبة الثالثة بعد الولايات المتحدة والصين في عدد مشاريع تطوير لقاحات ضد فيروس كورونا، بحسب منظمة الصحة العالمية"".<LF>وأضاف أن 436 باحثا تركيا يشرفون على 17 مشروعا لتطوير لقاح مضاد لكورونا",1,info_news
10,40 مليون مغربي كلها تتقول حتى يدير كولشي لقاح عاد نديرو انا على هاذ الحساب غير جابو لقاح وتمحنو فيه بلا فايدة,1,info_news
11,في داخل أميركا دوت الصرخة من نفاذ حتى الكمية الإحتياطية من لقاح #فايزر التحرك باتجاه خيارات أخرى أمر ضروري فليس لدينا ترف الوقت في هذا الظرف العصيب.. فلنتوجه شرقاً اللقاح الصيني أخذه الملايين وأثبت فعاليته وشروط تخزينه أسهل.. فلماذا لا نسرع في طلبه؟!<LF>#كورونا_لبنان<LF>#خليك_بالبيت,1,info_news
12,القصر الملكي في بريطانيا يعلن تلقي الملكة إليزابيث الثانية وزوجها الأمير فيليب دوق أدنبره لقاح فيروس كورونا.<LF>.<LF>. https://t.co/MX0DlS63uO,1,celebrity
13,الحمدلله حمدا كثيرا... تم ولله الحمد حصولي الجرعة الأولى من لقاح #كوفيد_19<LF>الله يعطينا خيره ويكفينا شره<LF>ماشاءالله أعجز عن وصف حسن التنظيم من بدايةالطلب في تطبيق #وزارة_الصحة إلى الاستقبال إلى احتراف الكادرالصحي إلى الحرص والعنايةفيما بعدالتطعيم<LF>ابدعتوالصراحة #ابطال_الصحة https://t.co/XfoNoJ4cUn,1,personal
14,الخالق جعلهم يتصرفون بحمق وغباء <LF>هذه إشارة وتحذير  ..<LF>ستأخذ اللقاح السام لوهم كورونا الحالي ولكن هذا ليس كافياً الأوغاد سيخرجون لك كل فترة بسلالة جديدة وبطبيعة الحال ستكون أقوى وتحتاج لقاح آخر وهكذا ستقضي حياتك هذا على فرض بأنك ستعيش من تطعيم إلى آخر . https://t.co/KO1Lb7banH,-1,personal
15,سفارة خليجية في #بيروت أدخلت من يومين ٥ آلاف لقاح #كورونا صيني<LF>يمكن لدبلوماسييها ومواطنيها في #لبنان<LF>هيدا بأكد مجدداً إنو كان ممكن يوصلنا اللقاح أبكر بكتير ونوفر مئات الضحايا<LF>بس نشكر الله هالتأخير ما أثر على نشر صور مسؤولينا وتعليقاتن الفارغة وحروب أزلامن العبثية على سوشيال ميديا,1,personal
16,وصول الدفعة الأولى من #لقاح #سبوتنيك إلى مطار بوفاريك العسكري و الشحنة الثانية مرتقبة هذا الأحد<LF>https://t.co/3LBvrsgdOC https://t.co/UgfbKzibMB,1,info_news
17,دراسة: لقاح «سبوتنيك - في» الروسي فعّال بنسبة 91.6 % https://t.co/IwKAHveUXq,1,info_news
18,سعودي شهم يتلقى جرعة لقاح كورونا بيد إبنته💔. لكنه أعطاها مسبقاً جرعات لحب أرضها وعقيدتها وثوابت دينها ومجتمعها.<LF>والدها الوفي أنكر دوره وتوجه بالشكر لله تعالى والدعاء للمملكة ولقائدنا الملك ولولي العهد.<LF>تحية لهذا الأب ولهذه الطبيبة ولوالدتها. وتحية لكل فتاة ملتزمة بدينها وأصالتها https://t.co/1V9EdVb6bo,1,personal
19,"الكلام عن ""علاج"" كورونا مش تطعيم ..بدأ يزيد و أكتر من دوا بدأنا نسمع عنهم بكثافه 🤓",0,personal
20,@USER لقاح جبل علي <LF>ماعرفو يسوون دخان جايين يسوون لقاح <LF>الحمدلله ان حكومتنا ماجابت هاللقاح,0,unrelated
