text,stance
بيل غيتس يتلقى لقاح #كوفيد19 من غير تصوير الابرة و لا السيرنجة و لا الدواء و لابس بولو صيفي في عز الشتاء و يقول ان إحدى مزايا عمر ال 65 عامًا هي انه مؤهل للحصول على اللقاح ... يعنى ما كان يحتاج اللقاح لو كان عمره اصغر من 65 🤔 https://t.co/QQKFFUNwBn,1
وزير الصحة لحد اليوم وتحديدا هلأ بمؤتمروا الصحفي كان ما عندي مشكلة معوا.<LF>بس انوا بفايزر هو اللقاح الوحيد الآمن بالعالم لأ حبيبي هاي فيها نفاق واضح.<LF>عفوا يعني.<LF>مش إنوا مجبورين فيه وما قادر تجبر الدولة المارقة تدفع مصاري تجيب لقاح تاني.<LF>يلا باي,1
قولكن  رح يكونو اد المسؤولية ب لبنان لما يوصل اللقاح؟<LF>ألفي جرعة من لقاح #كورونا للتلف في مستشفى بوسطن،لأن عامل النظافة وقف عن طريق الخطأ عمل الثلاجة التي حفظت بها.<LF>#لقاح_كورونا,1
"#تركيا.. وزير الصحة فخر الدين قوجة يتلقى أول جرعة من لقاح ""كورونافاك"" الصيني في مستشفى بالعاصمة #أنقرة. https://t.co/qBUStQ1kPY",1
وئام وهاب يشتم الدول الخليجية في كل طلة اعلامية ويتسافه عليهم واليوم جاء الى دبي وأخذ لقاح كورونا. الأجدر توقيفه وطرده. اذا لم تستحي فافعل ما شئت<LF>@USER,0
"لقاح #كورونا في أميركا.. قلق متزايد من ""التوزيع العادل""<LF>https://t.co/NNaTRA5Bpb",0
لبنان اشترى مليونان لقاح امريكي اذا شلنا يلي عمرهم تحت ١٦ سنة ويلي مابدهم ياخذوا لقاح امريكي ويلي ما بدهم ياخذوا لقاح لانه مفكرينها مؤامرة ف بعتقد بفضل من اللقاح ، عشوا عاملين قصة مين رح ياخذ اول شي !! بكرا بنذكر بعض الدولة رح تصير تدعي لاخذ اللقاح والناس ما بدها,1
من عوارض لقاح كورونا<LF>هو تهكير حسابك عتويتر<LF>#عاصي_الحلاني,0
هناك 1780 مليونيراً في لبنان. ماذا لو فُرضت الضريبة على ثرواتهم؟<LF>أُنجِز هذا الإنفوغراف بدعم من مؤسسة أوكسفام.<LF>#محاربة_الفقر  #محاربة_اللامساواة  #فيروس_اللامساواة  #لقاح_الناس #لبنان_ينتفض <LF>1/3<LF>@USER https://t.co/9ktE81z1JK,0
دعبول حضرتك منو انت وتطلب من قائد دولة إسلامية لقاح لعد ما اتابع الاخبار هم بكل مجالاتهم متفوقين وراح يطلع اللقاح قريباً؟<LF>#دعبول_دومه_مسحول,1
مات 23 شخص في النرويج بعد تلقي لقاح  #COVID19..<LF>نيويورك بوست 🤦 https://t.co/g51cmWeoVL,-1
وبناء على تحليلها لهذه البيانات قررت المملكة المتحدة تأجيل الجرعة الثانية واستخدام الجرعات المتاحة في تطعيم اكبر عدد ممكن من الناس لحين تصنيع ما يكفي من اللقاحات لتوفير الجرعة الثانية خلال مدة تصل الى 12 اسبوع من تلقى الجرعة الاولى وحذت بعض الدول حذوها في ذلك (16),1
"📌حراموس <LF>الولائيون لاينفعهم لقاح ""الشيتان الأكببببر"".<LF><LF>♦️مستعدون للموت بالفايروس ولا يأخذون الطعوم (اللقاح الاميركي) https://t.co/LQ6dkIOXfe",-1
🚨 | إعلان هام للمواطنين والمقيمين في دولة قطر 🇶🇦 <LF><LF>وزارة الصحة العامة تفتح باب التسجيل للحصول على لقاح كوڤيد-١٩ 💉<LF><LF>عبر الرابط التالي 👇🏻<LF><LF>https://t.co/eQ5zVvfKz3<LF><LF>#قطر #نديب_قطر https://t.co/tmnxWDPZuS,1
الصين أثناء ظهور السلالة الجديدة من كورونا أم اسنان .. وبالمرة استطاعوا انتاج لقاح لهذه السلالة بهذه السرعة .. اشتروها يا دول والا السلالة الجديدة ستأتي لعضكم https://t.co/8Ej2OBLQdD https://t.co/xpQ3gGBO5k,1
"بنك الدولي: سنؤمن لقاح ""فايزر"" لـ750 ألف شخص في لبنان",1
"مصر.. الصحة تطلق موقع طلبات الحصول على لقاح كورونا ""تجريبيا""  <LF>https://t.co/R2CtlCTalm",1
"كما حذر الرئيس من مخاطر التطعيم.<LF><LF>""التطعيمات خطيرة. وأضاف ماجوفولي ""لو استطاع العلماء اختراعها ، لكانوا قد توصلوا إلى لقاح ضد الإيدز والسرطان والسل منذ فترة طويلة"".<LF>وحث الرئيس ماجوفولي التنزانيين على مواصلة اتخاذ الاحتياطات. في الوقت نفسه ، أعلن أنه لن يكون هناك حجر صحي في البلاد",-1
"معالي الدكتور وزير الصحة يبين أنه لا يمكن لمن تلقى الجرعة الأولى من لقاح "" فايزر بيونيتك "" أن يتلقى الجرعة الثانية من لقاح "" أسترازينيكا "" ويقول إن الدلائل الأولية تُفيد بأن السلالة الجديدة من فيروس كورونا تستجيب للعلاج باللقاحات المختلفة المُصَّنعة لكوفيد -19.",1
لقاح الحصبة يمنعك من الإصابة بالحصبة<LF>لقاح الجدري يمنعك من الإصابة بالجدري<LF>لقاح كوذيب 19 لا يمنعك من الإصابة بالمرض، ولا يمنعك من نقل العدوى ويجب عليك الاستمرار بكتم أنفاسك وأن تبتعد عن الناس كما يفعل الأجرب<LF><LF>لماذا يتم تسميته لقاحاً وهو ليس كذلك؟<LF>لتضليل الناس بعد أن عميت بصائرهم https://t.co/5AxqhG765J,0
#خادم_الحرمين_الشريفين 💚 - حفظه الله - يتلقى الجرعة الأولى من لقاح كورونا ( كوفيد - 19 ). https://t.co/lXiteoYzzz,1
نتنياهو يتلقى الجرعة الثانية من لقاح كورونا  <LF>https://t.co/5F1vA7o2Xx,1
يجب أن يكون لقاح كوفيد-19 شاملاً للجميع.<LF><LF>لنكن واضحين: إن حماية البلدان الثرية وحدها لن يتيح عودة الحياة إلى طبيعتها. وطالما ظل فيروس الكورونا ينتشر في أي مكان في العالم، فسيظل يشكل تهديداً لنا جميعاً.<LF><LF>يجب أن نعمل معاً، كأمم متحدة. <LF><LF>#اللقاحات_فعالة https://t.co/hZ3NVltEkn,1
مطار القاهرة يستقبل شحنة  تبلغ 50 ألف جرعة من لقاح استرازينيكا  المصنع  في الهند . https://t.co/7zJKLtORRd,1
إذا وللبدّ ما لازم ولا مسؤول رسمي بالدولة اللبنانية خاصة الرؤسا والوزرا يحصلو على لقاح كورونا قبل الشعب مش هنّي في خدمة الشعب أو أنا غلطان؟إذا صحّت المعلومات حول حصول هالفئة عاللقاح قبل غيرهم يعني فعلا الوقاحة بتكون تخطت كل حدود.كيف الكن عين تعملوها ونظرة الناس تجاهكم نظرة احتقار,1
#عاجل<LF>#فيديو<LF><LF>#الملك_سلمان يتلقى الجرعة الأولى من لقاح فيروس #كورونا https://t.co/gpGFiksqTh,1
لأنهم يعلمون أنه #لقاح_آمن وضعوا عقوبات على الشركة التي تقوم بتركيبه ولأنهم يعلمون أن ايران ومن فيها بأمانة أنيس النفوس وضعوا عقوبات على #العتبة_الرضوية_المقدسة <LF><LF>#امريكا_الشيطان_الاكبر,1
الحمدلله أخذت الجرعة الثانية من تطعيم كوفيد19 جعل الله فيه العافية والسلامة من هذا الوباء . https://t.co/K4Vy5WkwZc,1
🙄🙄تمخضت وزارة الصحة فأنجبت لقاح إنت وحظك 😢😢يابتقول يارب يابتروح عنده 🤷🏻‍♀️🤷🏻‍♀️واحنا مالناش دخل بدنا واسطه 😂😂,0
@USER حسبنا الله ونعم الوكيل. شكلهم حيعطوهم لقاح لجماعتهم ولي يعز عليهم عندما يغادرون المملكة زي الأدوية الي تتهرب. أثر الميزانية حق الصحة ماتنصرف على المواطن ومستشفيات البلد عشان كذا الميزانية ماتكفي.,0
إيران تعلق استيراد 150 ألف جرعة من لقاح فايزر بعد قرار خامنئي منع استيراد اللقاحات,1
لجنة الطوارئ برئاسة رئيس الوزراء تناقش توفير لقاح كورونا لليمن - Saba Net :: سبأ نت https://t.co/CuWejYbsOj,1
بايدن يتلقى الجرعة الثانية من لقاح كورونا  <LF>https://t.co/CK4CwewaN0,1
دراسة: لقاح فايزر يزيد رغبة اللّحس لدى الصحافي الجلجوء,1
"تركيا.. وصول الدفعة الثانية من لقاح ""كورونافاك"" الصيني  <LF>https://t.co/pw4vFLb01z",1
النائب العام سعود المعجب يتلقى الجرعة الأولى من لقاح كورونا صباح اليوم، معرباً عن شكره العميق للقيادة الرشيدة لسرعة توفير اللقاح للمواطنين والمقيمين، ومؤملاً انتهاء الجائحة قريباً بفضل الله ثم بفضل الجهود المخلصة لوزارة الصحة بتوجيه من خادم الحرمين الشريفين وولي عهده حفظهما الله. https://t.co/vczqmUW1Sc,1
#ورد_الآن | وزير الصحة: لا ضرورة لإجراء فحص الأجسام المضادة قبل أخذ اللقاح<LF><LF>#عاجل #كورونا_الأردن #لقاح_كورونا #هنا_المملكة,1
دكتورة حامل في الشهر الثامن في الولايات المتحدة الأمريكية خذت تطعيم كورونا مع ان غير مصرح للحوامل حاليا لكنها قالت ببساطة<LF>احمي نفسي واللي في بطني افضل من اني اكون حامل واصاب بكورونا<LF>وانت ويهك مربع وتدخن كل يوم<LF> وتخاف من التطعيم<LF>خذ التطعيم ولا تنشر اشاعات خاطئة https://t.co/2b3wYfHKYg,1
نحنا بنادول ما عنا🤣<LF> بدو يكون عنا لقاح كورونا🧐<LF>      #تك كير يا بيبي 🙋‍♂️ #سوا,1
🔸#بالفيديو ..<LF><LF>معالي الدكتور أحمد بن محمد السعيدي وزير الصحة يتلقى الجرعة الثانية من لقاح كوفيد١٩ بمجمع بوشر التخصصي https://t.co/w9hoc8DD7Y,1
"منظمة دولية: العالم على وشك ""فشل أخلاقي"" في توزيع لقاح كورونا<LF><LF>https://t.co/CUURsKEApA https://t.co/D69OAbmkOn",1
بعد ان وعد العالم بلقاح تركى الصنع <LF>سيقدمه للبشريه ..أردوغان يتلقى لقاح <LF>صينى ..ازى الصحه بقى 😂 https://t.co/Ti9unrcCQY,1
القائد الاعلى للقوات الجوية الاسبانية يستقيل من منصبه بعد اتهامه بالحصول على .لقاح covid 19 قبل ان يحين دوره.<LF><LF>مش عم بمزح🙂,1
🔴لقاح #كورونا #فايزر_بيونتيك المعتمد من وزارة الصحة حصري ل #السيسي و حراميته و مجرمينه<LF>🔴لقاح مودرن الامريكي للأطباء<LF>🔴لقاح #كورونا الصيني الذي تسبب في غيبوبه دائمه لسياسي مصري في الامارات سيعطى للشعب المصري<LF>وهذا مبدأ اي انقلاب <LF>الأشياء الجيده للحاكم وشلته<LF>والسيئة القاتله للشعب,1
مستشار الرئيس للصحة يؤكد التعاقد رسميًا على 20 مليون جرعة لقاح ضد #كورونا,1
"هنغاريا توقع عقدا على اقتناء لقاح ""سبوتنيك V"" الروسي ضد كورونا  <LF>https://t.co/db5v6RA2n2",1
تركيا.. وزير الصحة يتلقى أولى جرعات لقاح كورونا الصيني<LF><LF>https://t.co/uZ8AnHOv9a https://t.co/sSoehYUj83,1
#أبوظبي — الإمارات تعلن توفير لقاح كورونا للجميع بدءا من سن 16 عاما,1
"هل للفيروسات نهاية؟ وما أهمية وجود تطعيم فعال ضد ""#كورونا""؟ | وام <LF><LF>#برق_الإمارات https://t.co/AJ9SlhSgJX",0
@USER @USER نوال الزغبي تلتقي لطيفة في دبي وتوضح حقيقة تلقيها لقاح كورونا<LF><LF>https://t.co/kviOIUAo5w,0
صورة تغني عن ألف كلمة.. حفظ الله خادم الحرمين الشريفين ورعاه وشكراً له على ما قدمه من دعم منذ بداية الجائحة وحرصه على سلامة المواطنين والمقيمين بعلاجهم وحصولهم على اللقاح مجاناً وأمره ببذل الغالي والنفيس من أجل صحتنا <LF>الله يطول بعمرگ❤️<LF> #الملك_يتلقى_لقاح_كورونا https://t.co/CEDAtB3aMb,1
#إسرائيل تكشف فعالية لقاح #كورونا وتثير أسئلة حول الاستراتيجية البريطانية<LF>#اندبندنت_عربية_تغنيك https://t.co/pFELxc3orf,1
في فترة كورونا :<LF>- استمرار الرواتب الحكوميين<LF>- دعم القطاع الخاص للمواطن وللمقيم <LF>- توفير مؤونة وعدم انقطاعها <LF>- علاج مجاني للمقيم وللمواطن <LF>- تلقي اللقاح مجاني للمقيم وللمواطن <LF>فيه دولة سوت نفسنا؟ <LF>الحمدلله على حكمة القيادة والحمدلله على السلامة ياوالدنا #الملك_يتلقى_لقاح_كورونا https://t.co/oDLeFrXSmx,1
