,text,category,stance
312,اللقاح لازم ينحفظ بدرجة حرارة ٧٠ دون الصفر والا يفقد فعاليته<LF>شلون راح نضمن هذا اللقاح آمن ؟ <LF>#نريد_لقاح_آمن,requests,1
529,اللقاح لازم ينحفظ بدرجة حرارة ٧٠ دون الصفر والا يفقد فعاليته<LF>شلون راح نضمن هذا اللقاح آمن ؟ <LF>#نريد_لقاح_آمن,info_news,1
649,اللقاح الأمريكي لم ينجح في الاختبارات السريرية ورغم ذالك تم اعتماده بشكل رسمي بسبب الوضع الحرج الذي تمر بها امريكا<LF>#نريد_لقاح_آمن,info_news,0
740,هناك مصادر لقاح أثبتت نجاحها غير أمريكا ويمكن استيراده <LF>#نريد_لقاح_آمن,info_news,1
963,لو كان اللقاح الأمريكي أمن ومفيد لما أصبحت الولايات المتحدة الأمريكية الأعلى في عدد الإصابات<LF>#نريد_لقاح_آمن,personal,-1
977,اللقاح الأمريكي لم ينجح في الاختبارات السريرية ورغم ذالك تم اعتماده بشكل رسمي بسبب الوضع الحرج الذي تمر بها امريكا<LF>#نريد_لقاح_آمن,info_news,-1
1154,هل تعلم أنه بمجرد دخولك الى العناية الفائقة بسبب COVID19 ، سيبقى هاتفك مع زوجتك لمدة 14 يومًا؟  <LF><LF>*خذ اللقاح 💉*<LF>*وقاية لصحتك و لراحة بالك*<LF>#لقاح_كورونا,others,1
1353,ما سبب الإصرار على اللقاح الأمريكي مع وجود مصادر أكثر أماناً #نريد_لقاح_آمن,info_news,1
1612,نريد التخلص من كورونا لكننا #نريد_لقاح_آمن,personal,1
1684,#نريد_لقاح_آمن حتى نأمن صحة اطفالنا في المستقبل,requests,1
1720,إسرائيل ستشكل دولة نموذجية عالمية بشأن تطعيم دولة كاملة على وجه السرعة. <LF><LF>ولأجل ذلك، بكّرنا موعد وصول اللقاحات بل زدنا من عددها.<LF><LF>وستشارك إسرائيل مع شركة فايزر ومع البشرية جمعاء المعطيات الإحصائية التي من شأنها المساعدة على بلورة استراتيجيات تُعنى بدحر جائحة كورونا.,plan,1
1878,هناك مصادر لقاح أثبتت نجاحها غير أمريكا ويمكن استيراده <LF>#نريد_لقاح_آمن,info_news,1
1921,اللقاح الأمريكي غالي ومو آمن #نريد_لقاح_آمن,requests,1
1944,#نريد_لقاح_آمن حتى نأمن صحة اطفالنا في المستقبل,personal,0
2105,والله مجرمين منثق بأي لقاح منهم<LF>#نريد_لقاح_آمن,personal,-1
2326,نريد التخلص من كورونا لكننا #نريد_لقاح_آمن,info_news,1
2380,يكفينا ما لاقينا من أمريكا وموتها البايولوجي. لا نريد لقاحها بل<LF>#نريد_لقاح_آمن,info_news,1
2477,محمد بن زايد: الإمارات قدمت أكثر من مليون و 275 ألف جرعة لقاح للمواطنين والمقيمين - الإمارات اليوم https://t.co/5uAPawcKxo,info_news,1
2542,لو كان اللقاح الأمريكي أمن ومفيد لما أصبحت الولايات المتحدة الأمريكية الأعلى في عدد الإصابات<LF>#نريد_لقاح_آمن,info_news,1
2547,اللقاح الأمريكي غالي ومو آمن #نريد_لقاح_آمن,requests,-1
2615,يريدون تجربة هذا اللقاح في أجسادنا <LF>#نريد_لقاح_آمن,personal,-1
2638,#نريد_لقاح_آمن حتى ترجع الحياة الى طبيعتها بعدما اوقف الفايروس كل شي,info_news,1
2644,نريد التخلص من كورونا لكننا #نريد_لقاح_آمن,requests,1
2646,في ظل تسابق دول العالم على تطعيم شعوبها.. تَعَرَّف الدول العربية التي لم يصل إليها لقاح #كورونا بعد<LF>https://t.co/WXE2f9PmVF,info_news,1
2666,تعمد عملاء الداخل يردون فرضه علينا <LF>هذه الفرضية من سرب المؤامرة <LF>#نريد_لقاح_آمن,requests,1
2786,لو كان اللقاح الأمريكي أمن ومفيد لما أصبحت الولايات المتحدة الأمريكية الأعلى في عدد الإصابات<LF>#نريد_لقاح_آمن,personal,-1
2815,علينا بالتعامل من اثبت لنا إخلاصه ووفاءه <LF>لا نكثه للعهود والعقود ويتاجر بأرواحنا <LF>#نريد_لقاح_آمن,others,1
2874,امريكا التي حددت موعداً لتجهيز العراق بالسلاح في حربهِ مع داعش بعد ٦ سنوات على خلافِ ايران التي زودتنا به خلال ٢٤ ساعة لا يمكن ان تستغفلنا ثانيةً في وهم اللقاح.<LF>#نريد_لقاح_آمن,personal,1
3149,ما سبب الإصرار على اللقاح الأمريكي مع وجود مصادر أكثر أماناً #نريد_لقاح_آمن,personal,-1
3231,#نريد_لقاح_آمن حتى ترجع الحياة الى طبيعتها بعدما اوقف الفايروس كل شي,info_news,1
3340,تعمد عملاء الداخل يردون فرضه علينا <LF>هذه الفرضية من سرب المؤامرة <LF>#نريد_لقاح_آمن,info_news,1
3619,من يبحث عن علاج من امريكا <LF><LF>خل يسأل مراجع الامه وعلمائها <LF><LF>ولينظر كيف يكون علاجهم <LF><LF>وهورشيما خير مثال في تقديم امريكا منتوجها للشعوب #نريد_لقاح_آمن,info_news,1
3655,الذي تفنن بقتلنا لا يؤتمن لكي نأخذ منه اللقاح #نريد_لقاح_آمن,others,1
3728,#نريد_لقاح_آمن حتى نأمن صحة اطفالنا في المستقبل,requests,1
3741,اللقاح الأمريكي مفروض على العراق فرضاً<LF>#نريد_لقاح_آمن,info_news,1
3744,#نريد_لقاح_آمن حتى ترجع الحياة الى طبيعتها بعدما اوقف الفايروس كل شي,personal,1
3801,#نريد_لقاح_آمن حتى ترجع الحياة الى طبيعتها بعدما اوقف الفايروس كل شي,requests,1
3836,يكفينا ما لاقينا من أمريكا وموتها البايولوجي. لا نريد لقاحها بل<LF>#نريد_لقاح_آمن,personal,-1
3852,هناك مصادر لقاح أثبتت نجاحها غير أمريكا ويمكن استيراده <LF>#نريد_لقاح_آمن,requests,1
